objectid,filename,title,creator,date,description,subject,location,source,identifier,type,format,language,rights,rightsstatement
smlh001,slhm1.mp3,"Asheville Junction, Swannanoa Tunnel","Brown, Frank Clyde, Collector; Love, Will Shorty, Performer",1939,"1939, December 9, Performance of Swannanoa Tunnel by Will 'Shorty' Love at Duke University. This is the only performance of Swannanoa Tunnel by a Black person. ",Labor songs; United States; Work songs; United States,"Durham County, North Carolina, United States ","Duke University Libraries, Repository Collections & Archives",Asheville Junction,audio,mp3,eng,Public domain,"Public domain
Proper usage is the responsibility of the user."
smlc02,slhm2.mp3,Swannanoa Tunnel,"Lunsford, Bascom Lamar, Performer",1935,"1935, These performances are a sampling of the 300 plus songs and tunes Lunsford recorded for Columbia University in 1935 at age 53.",Labor songs; United States; Work songs,"        
Columbia University, New York City, New york, United States ","Appalachian College Association, Digital Library of Appalachia","        
Swannanoa Tunnel",audio,mp3,eng,Creative reuse ,"	
This resource is provided for educational purposes. Please cite all references to this item."
smlh03,slhm3.mp3,Got a Few More Days,"Lomax, John A; 
Lomax, Ruby T; 
Hains, R. C. Red",1939,"Performance Note: Got a Few More Days, performed by R. C. Red Hains at Cummins State Farm, Camp 1, near Varner, Arkansas, on May 21, 1939.",United States; Arkansas; Lincoln County; Varner; Songs; Field hollers ,"Varner, Arkansas, United States ",American Folklife Center,"Labor Song Performance, Got a Few More Days ",audio,mp3,eng,Public domain,"The Library of Congress is not aware of any U.S. copyright protection (see Title 17, U.S.C.) or any other restrictions in the material in this collection, except as noted below. Users should keep in mind that the Library of Congress is providing access to these materials strictly for educational and research purposes."
smlh04,slhm4.jpg,"Son of farmsteader at Roanoke Farms, North Carolina","Vachon, John",1938,Photo shows an African American farmer preparing a field for planting with a disc harrow pulled by two mules.,North Carolina; Halifax County; Enfield; Roanoke Farms,"Roanoke Farms, North Carolina, United States ",Library of Congress,Photo of Black Farmer ,photo,jpg,eng,Public domain,"No known restrictions. For information, see U.S. Farm Security Administration/Office of War Information Black & White Photographs https://www.loc.gov/rr/print/res/071_fsab.html"
smlh05,slhm5.pdf,"Swannanoa Tunnel, U.S. Route 70, Ridgecrest, Buncombe County, NC","Historic American Engineering Record; 
Salisbury, George W;
Littlefield, Milton S;
Aldrich, L S;
Wilson, James W;
Miller, Henry M;
Atkinson, Roger P;
Coleman, Thaddeus;
Best, William J
O'Bannon",1968,Longest railroad tunnel on Western North Carolina Railroad; significant early use of nitroglycerin; major utilization of convict labor,North Carolina; Buncombe County; Ridgecrest; tunnels ,"Swannanoa Tunnel, U.S. Route 70, Ridgecrest, Buncombe County, NC",Library of Congress,Swannanoa Tunnel Documentation ,document,pdf,eng,Unrestricted ,No known restrictions on images made by the U.S. Government; images copied from other sources may be restricted. https://www.loc.gov/rr/print/res/114_habs.html
smlh06,slhm6.jpg,"English folk songs from the southern Appalachians, pg 263 Swannanoa Town'","Sharp, Cecil James; Campbell, Olive Arnold ",1917,"English folk songs from the southern Appalachians 
collected by Cecil J. Sharp; comprising two hundred and seventy-three songs and ballads with nine hundred and sixty-eight tunes, including thirty-nine tunes contributed by Olive Dame Campbell. Edited by Maud Karpeles.",Folk songs; English; Ballads; English; Folk songs; United States,"New York City, New York, United States and London, UK",New York Public Library via Internet Archive,Swannanoa Town Music Sheet,photo,jpg,eng,Creative reuse ,
smlh07,slhm7.jpg,Boudoir cabinet card of convict laborers at Swannanoa Cut,"Lindsey, Thomas H.",1885,"A sepia tone boudoir photography card of a group of convict laborers at Swannanoa Cut, Asheville, North Carolina. Captured by T. H. Lindsey, and part of Lindsey’s Views series, the image depicts men wearing hats and striped jumpsuits standing in a line with an in-progress rail track in front of them and sheer cliffs behind them. They hold lunch pails, tin dishes, and shovels. Two armed guards stand down the track on the right of the photograph. Several shovels stick out of the rocky ground on the right of the photograph. At the bottom of the photograph, a white ink caption reads, 613. Convicts in Line at Swannanoa Cut","American South;
Labor;
Men;
Photography;
Prisons","Asheville, Buncombe County, North Carolina, United States","Smithsonian, National Museum of African American History & Culture", Photo of Swannanoa Tunnel Laborers ,photo,jpg,eng,Public domain ,"Public domain
Proper usage is the responsibility of the user."
smlh08,slhm8.jpg,Bob and His Fiddle,"Havens, O. Pierre",1888,"A stereograph titled Bob and His Fiddle printed and photographed by O. Pierre Havens of Savannah, Georgia. The albumen prints depict a boy holding a homemade fiddle while seated outside a small log dwelling. He wears a white shirt, dark vest, dark pants, and no shoes. His hat is lying on the ground by his left foot. He looks down at the fiddle held in his left hand and propped on his left shoulder, while holding a bow made from string and a bent stick in his right hand over the strings of the fiddle. The title is blurred and printed in the bottom left corner on the right facing print. ","American South;
Child musicians;
Children;
Music;
Photography;
Reconstruction","Savannah, Chatham County, Georgia, United States","Smithsonian, National Museum of African American History & Culture","Young boy plays a fiddle in Savannah, Georgia, USA",photo,jpg,eng,Public domain,"Public domain
Proper usage is the responsibility of the user."
smlh09,slhm9.jpg,Albumen print of a sharecropping family,Unidentified,1880,"An albumen print mounted on dark gray pasteboard depicting a family or group of unidentified people, likely sharecroppers, standing outside in front of a row of small houses. The unidentified people include two adult men, four adult women, and four children. The four women stand in the center; the woman at far left wears a hat and dark-colored sweater, and the woman at the far right holds a baby in her arms. The women are flanked by the two men. Both men wear hats, and the man on the far right holds a pipe in his mouth. There are three additional young children standing among the group:one, in a hat, stands next to the woman in the hat, another peers out from between the two women at center, and the third stands in front of the woman holding the baby. Two pigs are in the foreground in front of the group of people, while a third pig stands near a fence in the right background. Along the right side of the photograph is a row of three identical small dwellings, each with a peaked roof and a front porch. The pasteboard mount has been cut off along the left side of the print.","Agriculture;
American South; Domestic life;
Emancipation; Photography
Reconstruction; Rural life;
Slavery",United States,"Smithsonian, National Museum of African American History & Culture","Family or group of unidentified people, likely sharecroppers, standing outside in front of a row of small houses. ",photo,jpg,eng,Public domain,"Public domain
Proper usage is the responsibility of the user."
smlh10,slhm10.jpg,The emancipation car, Printed by Sullivan & Brown,1874,"The emancipation car: being an original composition of anti-slavery ballads, composed exclusively for the underground railroad","American Colonization Society;
Slavery; United States","Zanesville, Ohio, United States ","Schomburg Center for Research in Black Culture, Manuscripts, Archives and Rare Books Division, The New York Public Library",Anti-slavery ballads,photo,jpg,eng,Public domain,"The New York Public Library believes that this item is in the public domain under the laws of the United States, but did not make a determination as to its copyright status under the copyright laws of other countries. This item may not be in the public domain under the laws of other countries. Though not required, if you want to credit us as the source, please use the following statement, ""From The New York Public Library,"" and provide a link back to the item on our Digital Collections site. Doing so helps us track how our collection is used and helps justify freely releasing even more content in the future."
